condition	size	centricity	
10.000000	150.000000	0.400000
17.000000	150.000000	0.400000
8.000000	150.000000	0.400000
6.000000	150.000000	0.400000
24.000000	150.000000	0.400000
9.000000	150.000000	0.400000
1.000000	150.000000	0.400000
3.000000	150.000000	0.400000
19.000000	150.000000	0.400000
15.000000	150.000000	0.400000
22.000000	150.000000	0.400000
4.000000	150.000000	0.400000
21.000000	150.000000	0.400000
7.000000	150.000000	0.400000
5.000000	150.000000	0.400000
16.000000	150.000000	0.400000
20.000000	150.000000	0.400000
18.000000	150.000000	0.400000
11.000000	150.000000	0.400000
14.000000	150.000000	0.400000
12.000000	150.000000	0.400000
13.000000	150.000000	0.400000
2.000000	150.000000	0.400000
23.000000	150.000000	0.400000
